page,clicks,impressions,ctr,position
https://somto.it/film/alla-ricerca-di-joy-2025,0,2,0.00%,40.5
https://somto.it/film/altered-2025,0,2,0.00%,44.5
https://somto.it/film/american-sniper-2014,0,2,0.00%,60.5
https://somto.it/film/andiamo-a-quel-paese-2014,0,2,0.00%,96.5
https://somto.it/film/angeli-dell-inferno-sulle-ruote-1967,0,2,0.00%,30.5
https://somto.it/film/ballistic-2026,0,2,0.00%,55.5
https://somto.it/film/beatrice-cenci-1969,0,2,0.00%,84.0
https://somto.it/film/birds-of-prey-e-la-fantasmagorica-rinascita-di-harley-quinn-2020,0,2,0.00%,95.5
https://somto.it/film/born-wild-2012,0,2,0.00%,79.5
https://somto.it/film/coco-2017,0,2,0.00%,15.5
https://somto.it/film/come-riuscire-ad-avere-un-incidente-sul-lavoro-1959,0,2,0.00%,8.0
https://somto.it/film/dead-end-quella-strada-nel-bosco-2003,0,2,0.00%,72.5
https://somto.it/film/decisione-critica-1996,0,2,0.00%,53.0
https://somto.it/film/diana-vreeland-the-eye-has-to-travel-2012,0,2,0.00%,66.5
https://somto.it/film/el-conde-2023,0,2,0.00%,93.5
https://somto.it/film/elemental-2023,0,2,0.00%,10.0
https://somto.it/film/ex-machina-2015,0,2,0.00%,90.0
https://somto.it/film/five-nights-at-freddy-s-2-2025,0,2,0.00%,40.5
https://somto.it/film/follow-2025,0,2,0.00%,19.0
https://somto.it/film/harry-potter-e-il-calice-di-fuoco-2005,0,2,0.00%,77.5
https://somto.it/film/hokum-2026,0,2,0.00%,47.5
https://somto.it/film/hulk-2003,0,2,0.00%,58.0
https://somto.it/film/idealisten-2015,0,2,0.00%,35.0
https://somto.it/film/il-7-e-l-8-2007,0,2,0.00%,91.5
https://somto.it/film/il-conte-di-montecristo-1975,0,2,0.00%,88.5
https://somto.it/film/il-signore-degli-anelli-il-ritorno-del-re-2003,0,2,0.00%,75.0
https://somto.it/film/il-terrorista-1963,0,2,0.00%,91.0
https://somto.it/film/inception-2010,0,2,0.00%,4.5
https://somto.it/film/infinite-2021,0,2,0.00%,48.0
https://somto.it/film/islands-2025,0,2,0.00%,77.5
https://somto.it/film/jesus-1979,0,2,0.00%,56.5
https://somto.it/film/john-candy-i-like-me-2025,0,2,0.00%,26.5
https://somto.it/film/joy-division-2009,0,2,0.00%,94.0
https://somto.it/film/ken-park-2003,0,2,0.00%,98.5
https://somto.it/film/l-amico-fedele-2025,0,2,0.00%,76.0
https://somto.it/film/l-amore-dimenticato-2023,0,2,0.00%,61.0
https://somto.it/film/l-ultima-ricchezza-2013,0,2,0.00%,23.0
https://somto.it/film/la-rivincita-delle-bionde-2001,0,2,0.00%,87.0
https://somto.it/film/let-go-2024,0,2,0.00%,43.5
https://somto.it/film/london-calling-2025,0,2,0.00%,62.5
https://somto.it/film/lost-river-2015,0,2,0.00%,91.0
https://somto.it/film/lucy-2014,0,2,0.00%,83.5
https://somto.it/film/madagascar-3-ricercati-in-europa-2012,0,2,0.00%,55.0
https://somto.it/film/madre-2009,0,2,0.00%,52.5
https://somto.it/film/maleficent-2014,0,2,0.00%,48.0
https://somto.it/film/margin-call-2011,0,2,0.00%,91.0
https://somto.it/film/mean-girls-2004,0,2,0.00%,94.0
https://somto.it/film/michael-2026,0,2,0.00%,79.0
https://somto.it/film/mulan-1998,0,2,0.00%,75.5
https://somto.it/film/murder-at-the-embassy-2025,0,2,0.00%,14.0
https://somto.it/film/night-carnage-2025,0,2,0.00%,14.0
https://somto.it/film/per-amore-della-verita-2023,0,2,0.00%,66.5
https://somto.it/film/pinocchio-di-guillermo-del-toro-cinema-scolpito-a-mano-2022,0,2,0.00%,81.0
https://somto.it/film/power-rangers-2017,0,2,0.00%,75.0
https://somto.it/film/return-to-sender-restituire-al-mittente-2015,0,2,0.00%,75.5
https://somto.it/film/romeo-giulietta-di-william-shakespeare-1996,0,2,0.00%,68.5
https://somto.it/film/scarface-1983,0,2,0.00%,54.0
https://somto.it/film/self-less-2015,0,2,0.00%,80.5
https://somto.it/film/send-help-2026,0,2,0.00%,71.5
https://somto.it/film/sette-anime-2008,0,2,0.00%,90.0
https://somto.it/film/sikandar-2025,0,2,0.00%,31.0
https://somto.it/film/silence-2016,0,2,0.00%,21.5
https://somto.it/film/sleeping-dogs-2024,0,2,0.00%,64.0
https://somto.it/film/soul-2020,0,2,0.00%,86.0
https://somto.it/film/stazione-luna-1966,0,2,0.00%,89.0
https://somto.it/film/summer-palace-2006,0,2,0.00%,66.5
https://somto.it/film/terminator-1984,0,2,0.00%,41.0
https://somto.it/film/the-conjuring-per-ordine-del-diavolo-2021,0,2,0.00%,83.5
https://somto.it/film/the-fighter-2010,0,2,0.00%,76.0
https://somto.it/film/the-slumber-party-massacre-1982,0,2,0.00%,70.5
https://somto.it/film/thor-2011,0,2,0.00%,78.5
https://somto.it/film/thunderbolts-2025,0,2,0.00%,9.0
https://somto.it/film/vacancy-2007,0,2,0.00%,74.0
